update,environment_steps,train_return_mean,eval_return_mean,eval_return_std,actor_loss,critic_loss
1,512,125.34518493754359,nan,nan,0.16063059866428375,351.3952941894531
2,1024,-65.68324911106546,nan,nan,-0.008717438206076622,525.8526000976562
3,1536,-118.10408866770527,nan,nan,-0.12025144696235657,400.5067138671875
4,2048,31.785357762809028,nan,nan,-0.2119276523590088,409.81170654296875
5,2560,-35.573776834569614,-17.706805758600336,132.80028181881573,-0.03061722032725811,389.095947265625
6,3072,-127.57701632743772,nan,nan,-0.00295865535736084,656.0809326171875
7,3584,47.239329856539214,nan,nan,-0.04791175574064255,329.67572021484375
8,4096,65.61891559352647,nan,nan,0.04698318988084793,529.4306030273438
9,4608,-30.68137432318901,nan,nan,-0.1211431622505188,411.584716796875
